Frequency;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
260;0.564122551110208;0.575220657275721;0.6150654523716449;0.6446669915162994;0.6309059763077712;0.6983687494759315;0.7730627936611377;0.89133201991779;0.9753787908124677;1.003149610124363;1.1425070702617692;1.3585209210998759;1.5812245896044386;1.7712670012770435;2.0118502019275666;2.5449107845084935
268;0.5935186205951417;0.590151054466765;0.6204019964189734;0.653900731265064;0.6402242182357251;0.7083071018039941;0.783638005504531;0.9038793992813513;0.9913665408065776;1.01868925081835;1.1601076458195303;1.3752993954884352;1.5999651583074657;1.792552070641204;2.0315101101308155;2.5663830834640264
276;0.5667727907604868;0.583069130963395;0.6219510522113384;0.6536060788718113;0.645812599843241;0.708717803757764;0.7825524061865116;0.9018642389038641;0.987006474627299;1.015571133758087;1.1582388362141114;1.3753302456081025;1.599709967957163;1.7965159141726976;2.036840868389892;2.5746917498480575
284;0.4987629045539981;0.5602872781784239;0.6251574915545723;0.6555886756461874;0.6420741795232611;0.7055324306179096;0.7752262779128406;0.889069094284924;0.9724227945060987;1.0010238521791344;1.1437768727588449;1.3583198278697306;1.5823373079504706;1.7733361475095288;2.0142655756631975;2.553927987423086
292;0.4431806838179934;0.5331217042414361;0.6229056924375755;0.6518933001072674;0.6356382986196526;0.6906667229901302;0.7540151479554708;0.8704962392644345;0.9475124243999636;0.9724041983892425;1.1195834656646229;1.3343028353934556;1.560267878558938;1.754156111100371;1.9935019245033843;2.533746393979108
300;0.422967824864423;0.5279515090240314;0.6264790323504404;0.6591220046079861;0.641039747342886;0.6915919595437631;0.7576345071379714;0.8692501510815154;0.9471263046285877;0.9721643032894217;1.1180779887260799;1.3326695370406048;1.5562791264672515;1.748339480146311;1.9902850113998791;2.5317146254222664
308;0.4490503214936552;0.5371090914805089;0.6286616542094386;0.6580718840402352;0.6411175365241674;0.6947529952845727;0.7590720233175844;0.8747784198326277;0.9503870191162322;0.9744985869773969;1.1223585003168923;1.3384144835617573;1.561515168405571;1.7569785076218578;1.9965497664894165;2.5341706183584978
316;0.5161890831020223;0.5619888117442625;0.6360558396718438;0.665139432085102;0.6479410207346009;0.7033997297267786;0.7749352527637615;0.8922019428521978;0.9699789146368106;0.9916719191611283;1.1456471881527446;1.363174363831921;1.5854551431389978;1.776431403288519;2.0208898062274425;2.556042322145355
324;0.5888464630634046;0.5930300552833178;0.6361211152316106;0.6717907000829095;0.6559065082808344;0.7152975356762088;0.7945184176782211;0.9152946334021728;0.9926853815679281;1.015061561584302;1.1679234001328709;1.383549336121708;1.6050369877069077;1.7962571336666076;2.0396865638356094;2.578971007851416
332;0.6321227646655678;0.6100720278206957;0.6420842601466387;0.6751031083632832;0.6603886620099092;0.7246150655071472;0.8051369487567324;0.9249907318090501;1.0080165336075548;1.0317732842953227;1.1817861413671542;1.3986592262667565;1.6248399680688823;1.8127816193685786;2.0557786953839288;2.5944924307300856
340;0.6204901851837542;0.6103409853799673;0.6440419780315308;0.6776534393187323;0.6654103404934893;0.7308445272883469;0.8082727643949048;0.9264674059068462;1.0119635538470537;1.0363803962152873;1.184038422633172;1.4019331738906082;1.6260749445712868;1.810239700059127;2.0583027380912173;2.5974038690492365
348;0.5720184979322581;0.5900795703111429;0.6392349597097797;0.6758572413558771;0.6618688965927834;0.7240265544121073;0.792280074227749;0.9110945294327092;0.9958261077084375;1.0229696659793586;1.1642444621667287;1.3810244403815364;1.6065216432254206;1.7912096119955017;2.0437651885048114;2.5794685856410933
